{'loss': 3.2823, 'grad_norm': 12.849579811096191, 'learning_rate': 4.961749135530463e-05, 'epoch': 0.02}                                                                                                                                                                     
{'loss': 1.0317, 'grad_norm': 19.486194610595703, 'learning_rate': 3.1257076409926864e-05, 'epoch': 1.12}                                                                                                                                                                    
{'loss': 1.0135, 'grad_norm': 11.996213912963867, 'learning_rate': 3.087456776523149e-05, 'epoch': 1.15}                                                                                                                                                                     
{'loss': 0.9981, 'grad_norm': 14.708100318908691, 'learning_rate': 3.0492059120536126e-05, 'epoch': 1.17}                                                                                                                                                                    
{'loss': 1.0082, 'grad_norm': 18.664709091186523, 'learning_rate': 3.0109550475840752e-05, 'epoch': 1.19}                                                                                                                                                                    
{'loss': 0.9982, 'grad_norm': 14.830178260803223, 'learning_rate': 2.9727041831145385e-05, 'epoch': 1.22}                                                                                                                                                                    
{'loss': 0.989, 'grad_norm': 15.378215789794922, 'learning_rate': 2.9344533186450014e-05, 'epoch': 1.24}                                                                                                                                                                     
{'loss': 0.9838, 'grad_norm': 10.182160377502441, 'learning_rate': 2.8962024541754647e-05, 'epoch': 1.26}                                                                                                                                                                    
{'loss': 1.0042, 'grad_norm': 23.79365348815918, 'learning_rate': 2.8579515897059273e-05, 'epoch': 1.29}                                                                                                                                                                     
{'loss': 0.9711, 'grad_norm': 11.435224533081055, 'learning_rate': 2.8197007252363906e-05, 'epoch': 1.31}                                                                                                                                                                    
{'loss': 0.937, 'grad_norm': 17.711549758911133, 'learning_rate': 2.7814498607668532e-05, 'epoch': 1.33}                                                                                                                                                                     
{'loss': 0.9324, 'grad_norm': 14.704279899597168, 'learning_rate': 2.7431989962973165e-05, 'epoch': 1.35}                                                                                                                                                                    
{'loss': 0.9507, 'grad_norm': 13.887094497680664, 'learning_rate': 2.704948131827779e-05, 'epoch': 1.38}                                                                                                                                                                     
{'loss': 0.9501, 'grad_norm': 14.87927532196045, 'learning_rate': 2.6666972673582423e-05, 'epoch': 1.4}                                                                                                                                                                      
{'loss': 0.9325, 'grad_norm': 18.57402992248535, 'learning_rate': 2.6284464028887053e-05, 'epoch': 1.42}                                                                                                                                                                     
{'loss': 0.9314, 'grad_norm': 13.427170753479004, 'learning_rate': 2.5901955384191686e-05, 'epoch': 1.45}                                                                                                                                                                    
{'loss': 0.9276, 'grad_norm': 17.85297203063965, 'learning_rate': 2.5519446739496315e-05, 'epoch': 1.47}                                                                                                                                                                     
{'loss': 0.9318, 'grad_norm': 24.903457641601562, 'learning_rate': 2.5136938094800944e-05, 'epoch': 1.49}                                                                                                                                                                    
{'loss': 0.9273, 'grad_norm': 16.364337921142578, 'learning_rate': 2.4754429450105574e-05, 'epoch': 1.51}                                                                                                                                                                    
{'loss': 0.909, 'grad_norm': 16.462345123291016, 'learning_rate': 2.4371920805410203e-05, 'epoch': 1.54}                                                                                                                                                                     
{'loss': 0.9249, 'grad_norm': 15.59926986694336, 'learning_rate': 2.3989412160714833e-05, 'epoch': 1.56}                                                                                                                                                                     
{'loss': 0.8902, 'grad_norm': 28.907682418823242, 'learning_rate': 2.3606903516019462e-05, 'epoch': 1.58}                                                                                                                                                                    
{'loss': 0.8899, 'grad_norm': 14.506342887878418, 'learning_rate': 2.322439487132409e-05, 'epoch': 1.61}                                                                                                                                                                     
{'loss': 0.8894, 'grad_norm': 15.47080135345459, 'learning_rate': 2.2841886226628724e-05, 'epoch': 1.63}                                                                                                                                                                     
{'loss': 0.8712, 'grad_norm': 10.004409790039062, 'learning_rate': 2.2459377581933354e-05, 'epoch': 1.65}                                                                                                                                                                    
{'loss': 0.8564, 'grad_norm': 17.844892501831055, 'learning_rate': 2.2076868937237983e-05, 'epoch': 1.68}                                                                                                                                                                    
{'loss': 0.879, 'grad_norm': 12.421516418457031, 'learning_rate': 2.1694360292542612e-05, 'epoch': 1.7}                                                                                                                                                                      
{'loss': 0.8571, 'grad_norm': 16.25121307373047, 'learning_rate': 2.1311851647847242e-05, 'epoch': 1.72}                                                                                                                                                                     
{'loss': 0.85, 'grad_norm': 16.038623809814453, 'learning_rate': 2.092934300315187e-05, 'epoch': 1.74}                                                                                                                                                                       
{'loss': 0.8444, 'grad_norm': 17.76019859313965, 'learning_rate': 2.05468343584565e-05, 'epoch': 1.77}                                                                                                                                                                       
{'loss': 0.8409, 'grad_norm': 13.259886741638184, 'learning_rate': 2.016432571376113e-05, 'epoch': 1.79}                                                                                                                                                                     
{'loss': 0.8329, 'grad_norm': 12.414222717285156, 'learning_rate': 1.9781817069065763e-05, 'epoch': 1.81}                                                                                                                                                                    
{'loss': 0.8233, 'grad_norm': 14.758966445922852, 'learning_rate': 1.9399308424370392e-05, 'epoch': 1.84}                                                                                                                                                                    
{'loss': 0.8289, 'grad_norm': 10.105778694152832, 'learning_rate': 1.901679977967502e-05, 'epoch': 1.86}                                                                                                                                                                     
{'loss': 0.8107, 'grad_norm': 15.312089920043945, 'learning_rate': 1.863429113497965e-05, 'epoch': 1.88}                                                                                                                                                                     
{'loss': 0.7991, 'grad_norm': 13.272798538208008, 'learning_rate': 1.825178249028428e-05, 'epoch': 1.9}                                                                                                                                                                      
{'loss': 0.8098, 'grad_norm': 20.275985717773438, 'learning_rate': 1.786927384558891e-05, 'epoch': 1.93}                                                                                                                                                                     
{'loss': 0.7975, 'grad_norm': 11.989603042602539, 'learning_rate': 1.748676520089354e-05, 'epoch': 1.95}                                                                                                                                                                     
{'loss': 0.8087, 'grad_norm': 16.886554718017578, 'learning_rate': 1.710425655619817e-05, 'epoch': 1.97}                                                                                                                                                                     
{'loss': 0.8035, 'grad_norm': 22.5041446685791, 'learning_rate': 1.6721747911502798e-05, 'epoch': 2.0}                                                                                                                                                                       
{'loss': 0.7363, 'grad_norm': 19.7204647064209, 'learning_rate': 1.633923926680743e-05, 'epoch': 2.02}                                                                                                                                                                       
{'loss': 0.7083, 'grad_norm': 12.088982582092285, 'learning_rate': 1.595673062211206e-05, 'epoch': 2.04}                                                                                                                                                                     
{'loss': 0.6975, 'grad_norm': 17.711763381958008, 'learning_rate': 1.557422197741669e-05, 'epoch': 2.07}                                                                                                                                                                     
{'loss': 0.7085, 'grad_norm': 15.26287841796875, 'learning_rate': 1.5191713332721319e-05, 'epoch': 2.09}                                                                                                                                                                     
{'loss': 0.701, 'grad_norm': 17.32549285888672, 'learning_rate': 1.4809204688025949e-05, 'epoch': 2.11}                                                                                                                                                                      
{'loss': 0.7006, 'grad_norm': 12.904508590698242, 'learning_rate': 1.4426696043330578e-05, 'epoch': 2.13}                                                                                                                                                                    
{'loss': 0.7035, 'grad_norm': 16.147245407104492, 'learning_rate': 1.4044187398635209e-05, 'epoch': 2.16}                                                                                                                                                                    
{'loss': 0.7026, 'grad_norm': 16.887163162231445, 'learning_rate': 1.3661678753939838e-05, 'epoch': 2.18}                                                                                                                                                                    
{'loss': 0.7081, 'grad_norm': 14.816974639892578, 'learning_rate': 1.3279170109244471e-05, 'epoch': 2.2}                                                                                                                                                                     
{'loss': 0.6922, 'grad_norm': 21.19660186767578, 'learning_rate': 1.28966614645491e-05, 'epoch': 2.23}                                                                                                                                                                       
{'loss': 0.6819, 'grad_norm': 10.671509742736816, 'learning_rate': 1.251415281985373e-05, 'epoch': 2.25}                                                                                                                                                                     
{'loss': 0.6781, 'grad_norm': 31.521320343017578, 'learning_rate': 1.213164417515836e-05, 'epoch': 2.27}                                                                                                                                                                     
{'loss': 0.6729, 'grad_norm': 13.17648696899414, 'learning_rate': 1.1749135530462989e-05, 'epoch': 2.3}                                                                                                                                                                      
{'loss': 0.6818, 'grad_norm': 22.944995880126953, 'learning_rate': 1.1366626885767618e-05, 'epoch': 2.32}                                                                                                                                                                    
{'loss': 0.6603, 'grad_norm': 21.71393394470215, 'learning_rate': 1.0984118241072248e-05, 'epoch': 2.34}                                                                                                                                                                     
{'loss': 0.6689, 'grad_norm': 17.881587982177734, 'learning_rate': 1.0601609596376879e-05, 'epoch': 2.36}                                                                                                                                                                    
{'loss': 0.6823, 'grad_norm': 16.149749755859375, 'learning_rate': 1.0219100951681508e-05, 'epoch': 2.39}                                                                                                                                                                    
{'loss': 0.6771, 'grad_norm': 22.076759338378906, 'learning_rate': 9.836592306986138e-06, 'epoch': 2.41}                                                                                                                                                                     
{'loss': 0.6572, 'grad_norm': 14.240143775939941, 'learning_rate': 9.454083662290767e-06, 'epoch': 2.43}                                                                                                                                                                     
{'loss': 0.661, 'grad_norm': 12.434182167053223, 'learning_rate': 9.071575017595398e-06, 'epoch': 2.46}                                                                                                                                                                      
{'loss': 0.6501, 'grad_norm': 23.00144386291504, 'learning_rate': 8.689066372900028e-06, 'epoch': 2.48}                                                                                                                                                                      
{'loss': 0.6566, 'grad_norm': 20.951887130737305, 'learning_rate': 8.306557728204657e-06, 'epoch': 2.5}                                                                                                                                                                      
{'loss': 0.6385, 'grad_norm': 17.60773468017578, 'learning_rate': 7.924049083509286e-06, 'epoch': 2.52}                                                                                                                                                                      
{'loss': 0.647, 'grad_norm': 18.67009162902832, 'learning_rate': 7.5415404388139166e-06, 'epoch': 2.55}                                                                                                                                                                      
{'loss': 0.6389, 'grad_norm': 17.720478057861328, 'learning_rate': 7.159031794118548e-06, 'epoch': 2.57}                                                                                                                                                                     
{'loss': 0.6388, 'grad_norm': 16.64484214782715, 'learning_rate': 6.776523149423178e-06, 'epoch': 2.59}                                                                                                                                                                      
{'loss': 0.6344, 'grad_norm': 13.854724884033203, 'learning_rate': 6.394014504727807e-06, 'epoch': 2.62}                                                                                                                                                                     
{'loss': 0.6407, 'grad_norm': 12.49496841430664, 'learning_rate': 6.011505860032437e-06, 'epoch': 2.64}                                                                                                                                                                      
{'loss': 0.6403, 'grad_norm': 22.43611717224121, 'learning_rate': 5.628997215337067e-06, 'epoch': 2.66}                                                                                                                                                                      
{'loss': 0.6338, 'grad_norm': 12.991402626037598, 'learning_rate': 5.246488570641696e-06, 'epoch': 2.69}                                                                                                                                                                     
{'loss': 0.6339, 'grad_norm': 20.106489181518555, 'learning_rate': 4.863979925946327e-06, 'epoch': 2.71}                                                                                                                                                                     
{'loss': 0.6262, 'grad_norm': 13.407739639282227, 'learning_rate': 4.481471281250957e-06, 'epoch': 2.73}                                                                                                                                                                     
{'loss': 0.6309, 'grad_norm': 14.436569213867188, 'learning_rate': 4.098962636555586e-06, 'epoch': 2.75}                                                                                                                                                                     
{'loss': 0.6292, 'grad_norm': 17.679845809936523, 'learning_rate': 3.7164539918602166e-06, 'epoch': 2.78}                                                                                                                                                                    
{'loss': 0.6062, 'grad_norm': 18.740758895874023, 'learning_rate': 3.3339453471648464e-06, 'epoch': 2.8}                                                                                                                                                                     
{'loss': 0.6196, 'grad_norm': 14.173897743225098, 'learning_rate': 2.9514367024694762e-06, 'epoch': 2.82}                                                                                                                                                                    
{'loss': 0.6259, 'grad_norm': 18.69672393798828, 'learning_rate': 2.568928057774106e-06, 'epoch': 2.85}                                                                                                                                                                      
{'loss': 0.6308, 'grad_norm': 12.448684692382812, 'learning_rate': 2.186419413078736e-06, 'epoch': 2.87}                                                                                                                                                                     
{'loss': 0.631, 'grad_norm': 9.001849174499512, 'learning_rate': 1.8039107683833655e-06, 'epoch': 2.89}                                                                                                                                                                      
{'loss': 0.635, 'grad_norm': 22.302501678466797, 'learning_rate': 1.4214021236879953e-06, 'epoch': 2.91}                                                                                                                                                                     
{'loss': 0.63, 'grad_norm': 18.938289642333984, 'learning_rate': 1.0388934789926252e-06, 'epoch': 2.94}                                                                                                                                                                      
{'loss': 0.6074, 'grad_norm': 25.42129135131836, 'learning_rate': 6.563848342972551e-07, 'epoch': 2.96}                                                                                                                                                                      
{'loss': 0.6218, 'grad_norm': 14.326883316040039, 'learning_rate': 2.73876189601885e-07, 'epoch': 2.98}                                                                                                                                                                      
{'train_runtime': 23925.9655, 'train_samples_per_second': 65.559, 'train_steps_per_second': 2.732, 'train_loss': 1.0357031673224897, 'epoch': 3.0}  

65358/65358 [6:38:45<00:00,  2.73it/s]
